Date,Close/Last,Volume,Open,High,Low,MA10,Range,Target,AAPL_ror,AAPL_hpr,AAPL_dd,AAPL_ror_MA,AAPL_hpr_MA,AAPL_dd_MA
2012-04-02,22.0939,596365041,21.4939,22.0989,21.4422,,0.32835000000000036,,1.0,1.0,0.0,1.0,1.0,0.0
2012-04-03,22.4757,832470187,22.4036,22.5789,22.2325,,0.17319999999999958,22.73195,1.0,1.0,0.0,1.0,1.0,0.0
2012-04-04,22.2968,571921331,22.2982,22.3522,22.0357,,0.15825000000000067,22.471400000000003,1.0,1.0,0.0,1.0,1.0,0.0
2012-04-05,22.6314,639989864,22.3922,22.6664,22.2643,,0.2010500000000004,22.550449999999998,1.0035897288080726,1.0035897288080726,0.0,1.0,1.0,0.0
2012-04-09,22.7225,596210202,22.3618,22.8514,22.3322,,0.2596000000000007,22.562849999999997,1.007075790514053,1.010690919491174,0.0,1.0,1.0,0.0
2012-04-10,22.4443,887636325,22.8547,23.0,22.3572,,0.3214000000000006,23.1143,1.0,1.010690919491174,0.0,1.0,1.0,0.0
2012-04-11,22.3643,695376082,22.7214,22.7454,22.2622,,0.24160000000000004,23.0428,1.0,1.010690919491174,0.0,1.0,1.0,0.0
2012-04-12,22.2418,612754555,22.3214,22.5475,22.1607,,0.19340000000000046,22.563000000000002,1.0,1.010690919491174,0.0,1.0,1.0,0.0
2012-04-13,21.6154,858559737,22.2897,22.3107,21.5539,,0.37840000000000096,22.4831,1.0,1.010690919491174,0.0,1.0,1.0,0.0
2012-04-16,20.7189,1049423900,21.7879,21.7957,20.6518,22.160500000000003,0.5719499999999993,22.1663,1.0,1.010690919491174,0.0,1.0,1.0,0.0
2012-04-17,21.775,1021313871,20.6764,21.7857,20.4254,22.128610000000002,0.6801499999999994,21.248350000000002,1.0247854539293637,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-18,21.7264,953108979,21.9186,22.1518,21.5254,22.05368,0.31320000000000014,22.598750000000003,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-19,20.98,833211347,21.4364,21.5976,20.8757,21.922,0.36095000000000077,21.7496,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-20,20.4636,1029922748,21.1207,21.2364,20.3722,21.70522,0.43210000000000015,21.481650000000002,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-23,20.4179,965592494,20.3789,20.5954,19.8793,21.47476,0.3580500000000004,20.811,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-24,20.01,1054208258,20.0932,20.2747,19.8214,21.23133,0.22664999999999935,20.45125,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-25,21.7857,903449319,21.987,22.0714,21.6429,21.173470000000002,0.21424999999999983,22.213649999999998,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-26,21.7036,534354866,21.9382,21.9532,21.5047,21.11965,0.22424999999999962,22.152449999999998,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-27,21.5357,406135358,21.6097,21.6493,21.4464,21.11168,0.10144999999999982,21.83395,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
2012-04-30,20.8564,505286398,21.35,21.3714,20.8214,21.12543,0.27500000000000036,21.45145,1.0,1.0357413527130488,0.0,1.0,1.0,0.0
